window_label,window_start_index,window_stop_index,time0,time1,interval_count,omega0,omega1,delta_omega,relative_delta_omega,S0_all_positive,S1_all_positive,delta_S_all_positive,relative_delta_S,A0_positive_point_count_proxy,A1_positive_point_count_proxy,delta_A_proxy,relative_delta_A,N0_active_locmax,N1_active_locmax,delta_N_active_locmax,relative_delta_N,positive_stretch_loss_proxy,loss_to_S_growth,B_patch_negative_proxy0,B_patch_negative_proxy1,delta_B_patch_negative_proxy,relative_delta_B_patch_negative_proxy,B_outside_active_measured,growth_condition,no_expansion_condition,low_loss_proxy_condition,no_B_compensation_condition,growth_without_active_expansion,proxy_REAL_NS_candidate,decisive_REAL_NS_candidate
w5_08_13,8,13,0.2000000000000001,0.3000000000000002,5,260.8772514347436,289.52088750781803,28.643636073074447,0.10979736989539476,1526489.9652663814,1540824.821398042,14334.85613166052,0.009390730668287757,402645.0,402187.0,-458.0,-0.001137478423921817,14190.0,14191.0,1.0,7.047216349541931e-05,3159534.583793519,220.4092287201438,,,,,False,False,True,False,False,False,False,False
w5_09_14,9,14,0.2200000000000001,0.3200000000000002,5,275.43486493151386,266.0966907302475,-9.338174201266384,-0.03390338475700342,1530085.6473564203,1546757.0670477478,16671.419691327494,0.010895742810300363,402468.0,402377.0,-91.0,-0.00022610493256606737,14178.0,14155.0,-23.0,-0.0016222316264635351,3167618.98274409,190.00295364118818,,,,,False,False,True,False,False,False,False,False
w6_00_06,0,6,0.04,0.1600000000000001,6,297.3311316263139,260.9477964518059,-36.38333517450798,-0.12236638314831624,1502915.5593705634,1520817.864693473,17902.305322909728,0.011911717335874412,403238.0,402793.0,-445.0,-0.0011035666281451648,14126.0,14301.0,175.0,0.012388503468780971,3710893.1130835824,207.28576829346787,,,,,False,False,True,False,False,False,False,False
w6_01_07,1,7,0.06,0.1800000000000001,6,240.63499198850255,249.5204810561763,8.885489067673745,0.03692517449040949,1504167.878030174,1520818.0367824803,16650.158752306364,0.01106934870468784,403077.0,402464.0,-613.0,-0.0015208012364883138,14186.0,14145.0,-41.0,-0.002890173410404624,3721821.9238700857,223.5307169881814,,,,,False,False,True,False,False,False,False,False
w6_02_08,2,8,0.08,0.2000000000000001,6,223.7373093578171,260.8772514347436,37.139942076926474,0.1659979830075169,1509053.5559003092,1526489.9652663814,17436.409366072156,0.011554533169413926,402870.0,402645.0,-225.0,-0.0005584928140591257,14214.0,14190.0,-24.0,-0.0016884761502743773,3732939.1708943574,214.08875488768504,,,,,False,False,True,False,False,False,False,False
w6_03_09,3,9,0.1,0.2200000000000001,6,260.3630040232429,275.43486493151386,15.071860908270935,0.05788787452661843,1513446.7457394695,1530085.6473564203,16638.901616950752,0.01099404499285569,402563.0,402468.0,-95.0,-0.00023598790748280394,14244.0,14178.0,-66.0,-0.004633529907329402,3744597.9229551554,225.05078815661577,,,,,False,False,True,False,False,False,False,False
w6_04_10,4,10,0.12,0.2400000000000001,6,242.9494541007661,255.6329131419317,12.683459041165605,0.052206163986295656,1516549.717647906,1530588.8002584074,14039.082610501442,0.009257251804626207,403008.0,402338.0,-670.0,-0.0016624980149277434,14254.0,14344.0,90.0,0.006314017118001964,3754991.7858224967,267.4670339936391,,,,,False,False,True,False,False,False,False,False
w6_05_11,5,11,0.14,0.2600000000000002,6,347.81452198923074,320.8315228443977,-26.98299914483306,-0.07757870197745373,1519007.8744144023,1536504.5740383535,17496.699623951223,0.011518504886418994,402952.0,402558.0,-394.0,-0.0009777839544164069,14158.0,14218.0,60.0,0.004237886707162028,3763920.801225137,215.12175908150746,,,,,False,False,True,False,False,False,False,False
w6_06_12,6,12,0.1600000000000001,0.2800000000000002,6,260.9477964518059,247.6282613652529,-13.319535086553003,-0.05104291075710605,1520817.864693473,1537190.1019704218,16372.237276948756,0.010765416199426777,402793.0,402346.0,-447.0,-0.0011097511625077893,14301.0,14278.0,-23.0,-0.001608279141318789,3775166.221252676,230.58340515061496,,,,,False,False,True,False,False,False,False,False
w6_07_13,7,13,0.1800000000000001,0.3000000000000002,6,249.5204810561763,289.52088750781803,40.00040645164174,0.16030911082860635,1520818.0367824803,1540824.821398042,20006.7846155616,0.013155278364457701,402464.0,402187.0,-277.0,-0.000688260316450664,14145.0,14191.0,46.0,0.0032520325203252032,3783744.0159769687,189.12304444132977,,,,,False,False,True,False,False,False,False,False
w6_08_14,8,14,0.2000000000000001,0.3200000000000002,6,260.8772514347436,266.0966907302475,5.219439295503889,0.020007261142160154,1526489.9652663814,1546757.0670477478,20267.101781366393,0.013276930895402031,402645.0,402377.0,-268.0,-0.0006655987284083995,14190.0,14155.0,-35.0,-0.0024665257223396757,3795927.2022873964,187.2950184607736,,,,,False,False,True,False,False,False,False,False
